table_name,comments
SP_PARCEL_LIBYA,SPATIAL PARCEL LIBYA:  this table provides an ennumerated list of the parcels included in the Libyan survey system.  These parcels may be referenced when describing the spatial extent of a business object such as a land right
SP_PARCEL_FPS,SPATIAL PARCEL FEDERAL PERMIT SYSTEM: an ennumerated list of the parcels included in the FPS Survey system.  These parcels may be referenced when describing the spatial extent of a business object such as a land right
SP_PARCEL_DLS_ROAD,SPATIAL PARCEL DOMINION LAND SURVEY ROAD ALLLOWANCES: an ennumerated list of the parcels included in the DLS Road allowances.  These parcels may be referenced when describing the spatial extent of a business object such as a land right
SP_PARCEL_DLS,SPATIAL PARCEL DOMINION LAND SURVEY: an ennumerated list of the parcels included in the DLS survey system.  These parcels may be referenced when describing the spatial extent of a business object such as a land right
SP_PARCEL_CONGRESS,SPATIAL PARCEL CONGRESSIONAL:  an ennumerated list of the parcels included in the congressional survey system.  These parcels may be referenced when describing the spatial extent of a business object such as a land right
SP_PARCEL_CARTER,SPATIAL PARCEL CARTER:  this table provides an ennumerated list of the parcels included in the carter survey system.  These parcels may be referenced when describing the spatial extent of a business object such as a land right
SP_PARCEL,SPATIAL  PARCEL:  This table is used to describe which land parcels are covered by a spatial descsription.  Land parcels themselves are selected from specific lists of parcel descriptions in the tables SP_PARCEL_XXX.
SP_MINERAL_ZONE,SPATIAL  MINERAL ZONE:  Definition of the subsurface that is included in the spatial description.  For example
SP_LINE_POINT_VERSION,SPATIAL DESCRIPTION POINT  VERSION: Carries all the different coordinate values associated with a point which must  be kept permanently.  Point versions may be in alternate survey systems
SP_LINE_POINT,SPATIAL LINE POINT BOUNDARY:  This table contains the points along a line.
SP_LINE,SPATIAL LINE: a line that describes the linear extent of a spatial object such as a road
SP_GEOMETRY,SPATIAL GEOMETRY:  This table provides a method for spatially enabllingl descriptions through association with appropriate geometries in a spatial engine such as SDE.
SP_DESC_XREF,SPATIAL DESCRIPTION CROSS REFERENCE:  Allows relationships between  the spatial descriptors for various PPDM items to be described.  Could  use to indicate spatial relationship between LAND RIGHTS and FIELDS or  SPACING UNITS
SP_DESC_TEXT,SPATIAL DESCRIPTION TEXT:  Describes the spatial extent of theland right
SP_COMPONENT,SPATIAL DESCRIPTION COMPONENT:  This table is used to identify the business objects that are defined by this spatial description.  The relationship supports the business rules that an object may have one or more spatial descriptions and that a spatial description may describe one or more business objects.  It would be common for example
SP_BOUNDARY_VERSION,SPATIAL DESCRIPTION POINT  VERSION: Carries all the different coordinate values associated with a point which must  be kept permanently.  Point versions may be in alternate survey systems
SP_BOUNDARY,SPATIAL POLYGON BOUNDARY:  This table contains the points which  outline the perimeter of a polygon.  The points are sequencedspatially in either a clockwise or counter clockwise direction
SPATIAL_DESCRIPTION,SPATIAL DESCRIPTION:  The surface and sub-surface description of land.  The surface description may be stated in terms of a  legal survey system
SPACING_UNIT_INST,SPACING UNIT INSTRUMENT:  may be used to track the instruments that  are associated with a spacing unit.
SPACING_UNIT,SPACING UNIT:  a spatial description
SOURCE_DOC_BIBLIO,SOURCE DOCUMENT BIBLIOGRAPHY:  This table can be used to capture the bibliographic references made in a source document.  These references may be validated as other source documents or unvalidated with a simple document name text field.
SOURCE_DOC_AUTHOR,SOURCE DOCUMENT AUTHOR:  this table may be used to list the names of  the authors of a source document.
SOURCE_DOCUMENT,SOURCE DOCUMENT: A list of documents that are used  as  the source for supplying data.  Source documents may include  government and regulatory forms
SF_XREF,SUPPORTING FACILITY CROSS REFERENCE:  this table is used to capture relationships between support facilities.  You can use this table to track the associations between road segmennts
SF_WASTE_DISPOSAL,SUPPORT FACILITY WASTE DISPOSAL:  Use this table to track information about waste disposal from a well
SF_WASTE,SUPPORTING FACILITY - WASTE DISPOSAL:  May be a formal waste disposal facility that is mechanized or designed to handle toxic or hazardous materials
SF_VESSEL,SUPPORTING FACILITY - VESSEL:  A marine vessel may be used to support production activities
SF_VEHICLE,SUPPORTING FACILITY - VEHICLE:  A land veicle may be used to support activities
SF_TOWER,SUPPORTING FACILITY - TOWER:  this table is uses to capture information about towers used to support operations. These towers may be microwave towers
SF_SUPPORT_FACILITY,SUPPORT FACILITY:  A support facility provides operational  support for activities.  These facilities may include roads
SF_STATUS,SUPPORT FACILITY STATUS:  the status of the support facility as it changes over time. Different types of statuses
SF_ROAD,SUPPORTING FACILITY ROAD:  this table is used to describe roads used in support of operations.  Each row in the table may represent an entire road or a portion of a road defined for some specific purpose (such as having its own fee structure or ownership or for variations in the composition of the road surface).  Relationships between road segements are captured in the SF XREF table.
SF_RIG_SHAKER,SUPPORT FACILITY RIG SHKER:  The primary and probably most important device on the rig for removing drilled solids from the mud. This vibrating sieve is simple in concept
SF_RIG_PUMP,SUPPORT FACILITY RIG PUMP:  Use this table to describe the pumps on the rig.  Details such as manufacturer and detailed specifications should be captured in the EQUIPMENT module
SF_RIG_OVERHEAD_EQUIP,SUPPORT FACILITY RIG OVERFHEAD EQUIPMENT:  this table to describe the overhead equipment on the rig
SF_RIG_GENERATOR,SUPPORT FACILITY RIG GENERATOR: Use this table to describe the power generators and  plants
SF_RIG_BOP,SUPPORT FACILITY RIG BLOWOUT PREVENTER:  A large valve at the top of a well that may be closed if the drilling crew loses control of formation fluids. By closing this valve (usually operated remotely via hydraulic actuators)
SF_RIG,SUPPORT FACILTY - PLATFORM: The Platform table contains information pertaining to a fixed drilling location (either an offshore platform or an onshore pad). The offshore platform which is a flat working surface supported above the ocean surface and used foroffshore drilling.  A drilling pad is a flat working surface on the ground used in onshore drilling for drilling multiple wellbores to reduce environmental impact.
SF_REST_REMARK,SUPPORT FACILITY  RESTRICTION REMARK:  A text description to provide  additional information about a surface restriction which could impact  on operations.  Remarks may be used to clarify the times or seasons  that the restriciton is active to to describe the administrative  requirements for the restriction.
SF_RESTRICTION,SUPPORT FACILITY RESTRICTION:  Surface restrictions placed on a support facility
SF_RAILWAY,SUPPORTING FACILITY - RAILWAY:  this table is used to describe railways used to support operations.
SF_PORT,SUPPORTING FACILITY - PORT:  A support facility used to describe ports or harbors where vessels may dock to load or unload material.
SF_PLATFORM,SUPPORT FACILTY - PLATFORM: The Platform table contains information pertaining to a fixed drilling location (either an offshore platform or an onshore pad). The offshore platform which is a flat working surface supported above the ocean surface and used for offshoredrilling.  A drilling pad is a flat working surface on the ground used in onshore drilling for drilling multiple wellbores to reduce environmental impact.
SF_PAD,SUPPORTING FACILITY - PAD:  A pad is a supporting structure on which land wells are constructed.  Many wells may be constructed on a single pad.
SF_OTHER,SUPPORTING FACILITY - OTHER:  A generic support facility that has been created to allow additional subtypes to be managed.  Addition of new subtypes should be submitted to PPDM  for inclusion in the model.
SF_MONUMENT,SUPPORT FACILITY MONUMENT:  a position for which a location must be permanently tracked.  Contains survey monuments
SF_MAINTAIN,SUPPORT FACILITY MAINTENANCE:  the maintenance record for the support facility
SF_LANDING,SUPPORTING FACILITY - LANDING:  A support facility that is used for landing
SF_HABITAT,SUPPORTING FACILITY - HABITAT:  A support facility that is used as a habitat or working environment
SF_GEOMETRY,SUPPORT FACILITY GEOMETRY:  This table provides a method for spatially enablling descriptions through association with appropriate geometries in a spatial engine such as SDE.
SF_EQUIPMENT,SUPPORT FACILITY EQUIPMENT: Use this table to describe all the equipment that is included on the support facility such as a rig.  In rigs
SF_ELECTRIC,SUPPORT FACILITIES - ELECTRIC FACILITIES:  various types of electric related facilities can be described here
SF_DOCK,SUPPORTING FACILITY -DOCK:  This table is used to capture information about docks used for support of operations.
SF_DISPOSAL,SUPPORTING FACILITY - DISPOSAL:  A support facility or site  that is used for disposal
SF_DESCRIPTION,SUPPORT FACILITY DESCRIPTION:  This generic table may be used to track descriptive information about support facilities that is not contained in the subtype tables.
SF_COMPONENT,SUPPORTING FACILITY  COMPONENT:  this table is used to track relationships between support facilities of all types and other business objects.  For example
SF_BRIDGE,SUPPORTING FACILITY - BRIDGE:  this table is used to capture information about bridges used to cross bodies of water
SF_BA_SERVICE,SUPPORT FACILITY SERVICE:  this table may be used to track services that are  provided for a facility
SF_BA_CREW,SUPPORT FACILITY BA CREW:  Use this table to track the relationships between support faciities and crews.  Crews may be permanent or temporary
SF_ALIAS,SUPPORT FACILITY  ALIAS:  Support facilities may have more than one name
SF_AIRSTRIP,SUPPORTING FACILITY - AIRSTRIP:  This table is used to capture information about airstrips used to support operations.
SF_AIRCRAFT,SUPPORTING FACILITY - AIRCRAFT:  This table is used to describe aircraft such as airplanes and helicopters that are used to support operations.
SEIS_WELL,SEISMIC SET - WELL CHECKSHOT SURVEY: The Well Checkshot Survey table contains well check shot survey information. Check shots in a well are made by firing a seismic source near the surface
SEIS_VESSEL,SEISMIC VESSEL:  This table captures the use of a vessel during acquisition of seismic data.  Details about the vessel configuration that are specific to this acquisition are captured in this table or subordinates.  Fixed details about the vessel and its ownership are captured in the support facility module.
SEIS_VELOCITY_VOLUME,SEISMIC VELOCITY VOLUME:  Captures details about a velocity volume.  The volume itself may be captured in the table SEIS VELOCITY or it may be referenced as a stored digital file in the RM module.
SEIS_VELOCITY_INTERVAL,SEISMIC VELOCITY INTERVAL: This table contains information pertaining  to a method determining the average velocity as a function of depth.Velocities are obtained from the sonic log
SEIS_VELOCITY,SEISMIC VELOCITY:  This table is used to capture seismic velocities that are created through seismic or well processing and interpretation.
SEIS_TRANS_COMPONENT,SEISMIC TRANSACTION COMPONENT:  this table lists the business objects involved in a seismic transaction.
SEIS_TRANSACTION,SEISMIC TRANSACTION:  a transaction between two business associates  that results in the exchange of data.  May be a sale
SEIS_STREAMER_COMP,SEISMIC STREAMER COMPONENT:  This table is used to capture the types of components on the streamer and the count of each type.  If additional detail about the position of each component is needed
SEIS_STREAMER_BUILD,SEISMIC STREAMER BUILD: this table allows you to capture the type and position of each component of a streamer.  If less detail is wanted
SEIS_STREAMER,SEISMIC STREAMER:  this table is used to capture the description of a marine seismic streamer used during seismic acquisition.  The streamer may be built of numerous components that may be described in SEIS STREAMER BUILD or SEIS STREAMER COMP.
SEIS_SP_SURVEY,SEISMIC SHOT POINT SURVEY LOCATION:  break-out table enabling  a linkage between survey points and monuments.
SEIS_SET_STATUS,SEISMIC SET STATUS:  The status of any seismic set
SEIS_SET_PLAN,SEISMIC SET PLANNED:  This type of seismic set has not been acquired as yet
SEIS_SET_JURISDICTION,SEISMIC SET JUJRISDICTION:  This table can be used to associate a seismic set with the jurisdications that control all or part of operations.
SEIS_SET_GEOMETRY,SEISMIC SET GEOMETRY:  This table provides a method for spatially enablling seismic set descriptions through association with appropriate geometries in a spatial engine such as SDE.
SEIS_SET_COMPONENT,SEISMIC SET COMPONENT: This table is used to capture the relationships between seismic sets and busines objects
SEIS_SET_AUTHORIZE,SEISMIC SET AUTHORIZATION:  this table is used to track the level of authorizations given by owning organizations pertaining to the sale and disposotion of seismic data for a line.
SEIS_SET_AREA,SEISMIC SET AREA:  This table can be used to associate a seismic set with areas.
SEIS_SET,SEISMIC SET:  A seismic set is a super type of various types of seismic collections.  Valid types of seismic sets include SEIS_LINE
SEIS_SEGMENT,SEISMIC SEGMENT:  A portion of a seismic line created or used for some  business process
SEIS_RECVR_SETUP,SEISMIC RECEIVER SETUP:  Describes the nominal set up of the seismic  receiver array design.
Z_WELL_WATER_ANAL_DTL,WELL WATER ANALYSIS DETAIL: The Well Water Analysis Detail table contains detailed information about the composition and physical properties of a water sample being analyzed. Properties may consist of a concentration of dissolved solids su  ch as Sodium (Na)
WELL_AREA,WELL AREA:  this table tracks the relationships between wells and all areas thay they intersect with.  These areas may be formal geopolitical areas
WELL_ALIAS,WELL ALIAS:  The Well Alias table contains names and identifiers that a well may otherwise be known as.  This would include previous or alternate well identifiers assigned to the well by a regulatory agency and the reason for the alias.
WELL_AIR_DRILL_PERIOD,AIR DRILLING INTERVAL PERIOD: This table may be used to associate an air drilling interval with the reporting or shift period(s) in which the drilling occurred.
WELL_AIR_DRILL_INTERVAL,AIR DRILLING INTERVAL: The Air Drilling Interval table contains depth interval and air volume information where air drilling was utilized in a wellbore.  Air drilling is rotary drilling that uses compressed air instead of a circulating mudsystem.
WELL_AIR_DRILL,AIR DRILLING : The Air Drilling Header table contains information pertaining to the contractor and compressor sources used to perform an air drilling operation. Air drilling is rotary drilling that uses compressed air instead of a circulat  ing mud system.
WELL_ACTIVITY_TYPE_EQUIV,WELL ACTIVITY TYPE EQUIVALENCE:  as different organizations or regulatory agencies may name or group activities
WELL_ACTIVITY_TYPE_ALIAS,WELL ACTIVITY TYPE ALIAS:  The Well Activity Alias table contains names and identifiers that a well activity may otherwise be known as.
WELL_ACTIVITY_TYPE,WELL DRILLING ACTIVITY:  This table contains a list of valid activities that occur in drilling or other well operations.  Each set of activities is owned by a WELL DRILL ACTIVITY SET.  For example rigging up
WELL_ACTIVITY_SET,WELL ACTIVITY SET:  This table describes sets of activity codes that may be in use.  More than one set of codes may be used during drilling operations.  A set of activity codes may be defined by a professional body such as the CAODC
WELL_ACTIVITY_DURATION,WELL ACTIVITY DURATION:  Use this table when you need to track the duration of events that span more than a day.  You can track the period in which the activity ocurred
WELL_ACTIVITY_COMPONENT,WELL ACTIVITY COMPONENT:  Use this table to keep track of objects created during an activity (logs
WELL_ACTIVITY_CAUSE,WELL ACTIVITY CAUSE:  Use this table when you want to track the conditions or events that caused this activity.  Often used to classify the causes of downtime events.
WELL_ACTIVITY,WELL ACTIVITY:  Use this table to track all activities and events in a well or well bore
WELL,WELL: A table for general and header information about a well.  A well is an actual or proposed hole in the ground
SUBSTANCE_COMPOSITION,SUBSTANCE COMPOSITION: This table is used to describe the substances into which another substance can be broken down into.  Use this table to define granularities or hierarchies amongst substances.  Information about the processes used to create sub-substances from others is not defined in these tables.
SUBSTANCE,SUBSTANCE:  A substance (organic or inorganic) to which mineral rights apply
STRAT_WELL_SECTION,STRATIGRAPHIC WELL SECTION:  Formerly called WELL FORMATION. The Well  Section table contains information on well tops. This includes pick  (positional) data on formations
STRAT_WELL_INTERP_AGE,STRATIGRAPHIC WELL INTERPRETATION AGE:  the age of a stratigraphic  unit as it occurs in the context of a well interpretation.  Ages may  be expressed in ordinal or chronological terms.
STRAT_WELL_ACQTN,STRATIGRAPHIC WELL  ACQUISITION:  this table may be used to list wells
STRAT_UNIT_DESCRIPTION,STRATIGRAPHIC UNIT DESCRIPTION:  description of the characteristics of  a stratigraphic unit
STRAT_UNIT_COMPONENT,STRATIGRAPHY UNIT COMPONENT: This table is used to capture the relationships between stratigraphy units and busines objects
STRAT_UNIT_AGE,STRATIGRAPHIC UNIT AGE:  the age of a stratigraphic unit outside the  context of a physical occurance in a well or field station.  Ages may  be described in ordinal or chronological terms.
STRAT_UNIT,STRAT UNIT: a  body of rock
STRAT_TOPO_RELATION,STRATIGRAPHIC TOPOLOGICAL RELATIONSHIP:  Describes the physical  relationship between two stratigraphic units
STRAT_NODE_VERSION,STRATIGRAPHIC NODE VERSION:  alternate location versions for a  stratigraphic field station node
STRAT_NAME_SET_XREF,STRATIGRAPHIC NAME SET CROSS REFERENCE:  The relationship between  stratigraphic name sets.  For example
STRAT_NAME_SET,STRATIGRAPHIC NAME SET:  A stratigraphic name set is an unordered  collection ofstratigraphic units
STRAT_INTERP_CORR,STRATIGRAPHIC INTERPRETATION CORRELATION:  An interpretation that  establishes correlations between well sections and / or field sections  based on some critieria
STRAT_HIERARCHY_DESC,STRATIGRAPHIC HIERARCHY DESCRIPTION:  This table may be used to capture the general structure of a stratigraphic hierarchy.  For example
STRAT_HIERARCHY,STRATIGRAPHIC HIERARCHY:  The hierarchical relationships  defining the  categorization and classification of rock units and the various  sub-divisions of the various catrgories. For example
STRAT_FLD_INTERP_AGE,STRATIGRAPHIC FIELD STATION INTERPRETED AGE:  The interpreted age of a  stratigraphic unit interpreted to be in a field station.  Ages may be  expressed in ordinal or chronologic terms.
STRAT_FIELD_STATION,STRATIGRAPHIC FIELD STATION:  any location where geological studies or  analysis or observations are carried out
STRAT_FIELD_SECTION,STRATIGRAPHIC FIELD SECTION:  Interpretation data for a Stratigraphic  field station.  Stratigraphic units that are interpreted to be part of  the field section may be listed in addition to the order of occurance
STRAT_FIELD_NODE,STRATIGRAPHIC FIELD NODE:  a location in a stratigraphic field station  that is retained for long term reference.  These locations may be  defined horizontally across the surface of the field station
STRAT_FIELD_GEOMETRY,STRATIGRAPHIC FIELD STATION GEOMETRY:  This table provides a method for spatially enablling stratigraphic field station  descriptions through association with appropriate geometries in a spatial engine such as SDE.
STRAT_FIELD_ACQTN,STRATIGRAPHIC ACQUISITION WELL CROSS REFERENCE:  this table  may be used to list wells that were used for the acquisition of the  stratigraphic interpretation of a field station
STRAT_EQUIVALENCE,STRATIGRAPHIC EQUIVALENCE:  this table is used to capture the  relationship defined between two units
STRAT_COL_UNIT_AGE,STRATIGRAPHIC COLUMN UNIT AGE:  the interpreted age of a stratigraphic  unit within the context of an intepreted stratigraphic column.
STRAT_COLUMN_XREF,STRATIGRAPHIC COLUMN CROSS REFERENCE::  This table may be used to capture the relationships between stratigraphic columns.  For example
STRAT_COLUMN_UNIT,STRATIGRAPHIC COLUMN UNIT:  This table is used to indicate what  stratigraphic units have been interpreted to exist in the  stratigraphic column including  the order in which they are expected  to occur and depths at which they may be expected to be found.
STRAT_COLUMN_ACQTN,STRATIGRAPHIC COLUMN  ACQUISITION:  this table may be used to list wells
R_SF_XREF_TYPE,REFERENCE SUPPORT FACILITY CROSS REFERENCE TYPE:  A type of relationship that exists between two support facilities.  For examples
R_SF_VESSEL_TYPE,VESSEL TYPE:  The type of marine vessel
R_SF_VESSEL_ROLE,VESSEL ROLE:  The specific role played by a vessel during an operation
R_SF_VEHICLE_TYPE,VEHICLE TYPE:  The type of vehicle
R_SF_TOWER_TYPE,REFERENCE SUPPORT FACILITY TOWER TYPE:  The type of tower
R_SF_SURFACE_TYPE,REFERENCE SUPPORT FACILITY SURFACE TYPE:  A valid list of surface types for various support facility.  May include concrete
R_SF_STATUS_TYPE,REFERENCE SUPPORT FACILITY STATUS TYPE:  The type of support facilty status
R_SF_STATUS,REFERENCE SUPPORT FACILITY STATUS:  The status of the support facility
R_SF_ROAD_TYPE,REFERENCE SUPPORT FACILITY ROAD TYPE:  A valid type of road
R_SF_PAD_TYPE,REFERENCE SUPPORT FACILITY PAD TYPE:  A valid type of drilling pad.
R_SF_MAINTAIN_TYPE,MAINTAINENCE TYPE: the type of maintenace that will be done on this support facility
R_SF_LANDING_TYPE,SUPPORT FACILITY LANDING FACILITY or HELIPORT TYPE:The type of landing facility
R_SF_ELECTRIC_TYPE,REFERENCE SUPPORT FACILITY ELECTRIC FACILITY TYPE:  The type of electric facility
R_SF_DOCK_TYPE,REFERENCE SUPPORT FACILITY DOCK TYPE:  A valid type of dock used in marine operations.
R_SF_DESC_VALUE,REFERENCE SUPPORT FACILITY DESCRIPTION VALUE:  a set of allowable codes for the description of a support facility.  As these codes are dependent on the type of description
R_SF_DESC_TYPE,REFERENCE SUPPORT FACILITY DESCRIPTION TYPE:  the type of description for a support facility
WORK_ORDER_DELIVERY_COMP,WORK ORDER DELIVERY COMPONENT:  This table tracks the delivery of specific components with a work order.  Note that the meaning of the term DELIVERY varies according to the value in DELIVERY TYPE in the parent table.
WORK_ORDER_DELIVERY,WORK ORDER DELIVERY:  This table is used to track delivery of products from the work order.  The subordinate table
WORK_ORDER_CONDITION,WORK ORDER CONDITION:  This table tracks some information about conditions in a work order
WORK_ORDER_COMPONENT,WORK ORDER COMPONENT:  this table is used to associate the work order with all business components of the model that are related to the work order
WORK_ORDER_BA,WORK ORDER BUSINESS ASSOCIATE:  This table tracks information about all the parties that are involved with a work order
WORK_ORDER_ALIAS,WORK ORDER ALIAS:  Alternate names and identifiers for a work order.
WORK_ORDER,WORK ORDER:  a work order represents a request or authorization for work to be performed.
WELL_ZONE_INTRVL_VALUE,WELL ZONE INTERVAL VALUE: The Well Zone Interval Value table  contains the actual data values as a result of an interpretation fromawellbore zone interval.
WELL_ZONE_INTERVAL,WELL ZONE INTERVAL: The Well Zone Interval table containsinformation within a wellbore pertaining to a belt
WELL_XREF,WELLCROSS REFERENCE:  Supports complex relationships between wells.  For example
WELL_VERSION,WELL VERSION: This table is a duplicate of the WELL table with the addition of SOURCE in the primary key to accommodate versioning.  Different sources may report different values for the same data item
